date,ticker,name,open,high,low,close,volume
2/1/2018,AAPL,Apple,170.16,172.3,169.26,172.26,25555934
3/1/2018,AAPL,Apple,172.53,174.55,171.96,172.23,29517899
4/1/2018,AAPL,Apple,172.54,173.47,172.08,173.03,22434597
5/1/2018,AAPL,Apple,173.44,175.37,173.05,175,23660018
8/1/2018,AAPL,Apple,174.35,175.61,173.93,174.35,20567766
9/1/2018,AAPL,Apple,174.55,175.06,173.41,174.33,21583997
10/1/2018,AAPL,Apple,173.16,174.3,173,174.29,23959895
2/1/2018,AMZN,Amazon,1172,1190,1170.51,1189.01,2694494
3/1/2018,AMZN,Amazon,1188.3,1205.49,1188.3,1204.2,3108793
4/1/2018,AMZN,Amazon,1205,1215.87,1204.66,1209.59,3022089
5/1/2018,AMZN,Amazon,1217.51,1229.14,1210,1229.14,3544743
8/1/2018,AMZN,Amazon,1236,1253.08,1232.03,1246.87,4279475
9/1/2018,AMZN,Amazon,1256.9,1259.33,1241.76,1252.7,3661316
10/1/2018,AMZN,Amazon,1245.15,1254.33,1237.23,1254.33,2686017
2/1/2018,GOOG,Google,1048.34,1066.94,1045.23,1065,1237564
3/1/2018,GOOG,Google,1064.31,1086.29,1063.21,1082.48,1430170
4/1/2018,GOOG,Google,1088,1093.57,1084,1086.4,1004605
5/1/2018,GOOG,Google,1094,1104.25,1092,1102.23,1279123
8/1/2018,GOOG,Google,1102.23,1111.27,1101.62,1106.94,1047603
9/1/2018,GOOG,Google,1109.4,1110.57,1101.23,1106.26,902541
10/1/2018,GOOG,Google,1097.1,1104.6,1096.11,1102.61,1042793
2/1/2018,MSFT,Microsoft,86.125,86.31,85.5,85.95,22483797
3/1/2018,MSFT,Microsoft,86.055,86.51,85.97,86.35,26061439
4/1/2018,MSFT,Microsoft,86.59,87.66,86.57,87.11,21911974
5/1/2018,MSFT,Microsoft,87.66,88.41,87.43,88.19,23407110
8/1/2018,MSFT,Microsoft,88.2,88.58,87.6046,88.28,22113049
9/1/2018,MSFT,Microsoft,88.65,88.7272,87.86,88.22,19484317
10/1/2018,MSFT,Microsoft,87.86,88.19,87.41,87.82,18652201
